arm,block,block_rank,rank_in_subtype,gene,model_score,target_class,druggability,small_molecule_tractable,antibody_tractable,some_drug_already_hits_this_gene,documented_safety_liability,liability_detail,why_the_model_ranked_it,REVIEW_plausible_1to5,REVIEW_already_known_to_you,REVIEW_worth_pursuing,REVIEW_comment
Triple-negative,B. NOVEL candidate - please assess,3,3,NBN,0.8785,Unclassified protein,Unclassified protein,True,False,False,False,,"dwpc_GBGD (+1.33), dwpc_GPGD (+0.61)",,,,
Triple-negative,B. NOVEL candidate - please assess,4,4,ATM,0.8736,Enzyme,Enzyme,True,False,False,True,Ataxia|diabetes|growth retardation|immunodeficiency|nausea|+5 more,"dwpc_GBGD (+0.71), ppi_multi_source_frac (+0.62)",,,,
Triple-negative,B. NOVEL candidate - please assess,5,5,BRCA2,0.8003,,intracellular,True,False,False,False,,"ppi_multi_source_frac (+0.50), dwpc_GBGD (+0.44)",,,,
Triple-negative,B. NOVEL candidate - please assess,6,6,FGF7,0.7832,Secreted protein,secreted,False,True,False,False,,"dwpc_GBGD (+1.00), dwpc_GFGD (+0.41)",,,,
Triple-negative,B. NOVEL candidate - please assess,7,8,BRIP1,0.7662,,intracellular,False,False,False,False,,"dwpc_GPGD (+0.70), ppi_multi_source_frac (+0.32)",,,,
Triple-negative,B. NOVEL candidate - please assess,8,9,RBBP8,0.7461,,intracellular,False,False,False,False,,"ppi_evidence_depth (-0.97), dwpc_GBGD (+0.90)",,,,
Triple-negative,B. NOVEL candidate - please assess,9,10,SMAD3,0.7454,Transcription factor,Transcription factor,True,True,False,False,,"ppi_multi_source_frac (+0.83), gene_ppi_degree (-0.68)",,,,
Triple-negative,B. NOVEL candidate - please assess,10,11,SMAD4,0.7307,Unclassified protein,Unclassified protein,True,False,False,False,,"ppi_multi_source_frac (+0.78), gene_ppi_degree (-0.62)",,,,
Triple-negative,B. NOVEL candidate - please assess,11,12,BARD1,0.7101,,intracellular,True,False,False,False,,"dwpc_GBGD (+0.76), gene_ppi_degree (-0.59)",,,,
Triple-negative,B. NOVEL candidate - please assess,12,13,RAD51C,0.7062,,intracellular,True,False,False,False,,"ppi_multi_source_frac (+1.01), dwpc_GBGD (+0.51)",,,,
Triple-negative,B. NOVEL candidate - please assess,13,14,ESR1,0.7044,Transcription factor,Transcription factor,True,True,True,True,"Altered, Larval development|Altered, Reproductive behaviour|Decrease, Population growth rate|Decreased sperm quantity /","ppi_multi_source_frac (+0.67), ppi_adamic_adar (+0.64)",,,,
Triple-negative,B. NOVEL candidate - please assess,14,15,CDKN2B,0.7034,,intracellular,False,False,False,False,,"ppi_multi_source_frac (+0.76), ppi_evidence_depth (+0.68)",,,,
Triple-negative,B. NOVEL candidate - please assess,15,16,PTH,0.6779,,secreted,True,True,False,False,,"dwpc_GBGD (+0.63), dwpc_GFGD (+0.51)",,,,
Triple-negative,B. NOVEL candidate - please assess,16,17,RAD9A,0.6765,,intracellular,True,False,False,False,,"ppi_multi_source_frac (+0.86), ppi_evidence_depth (-0.63)",,,,
Triple-negative,B. NOVEL candidate - please assess,17,18,FGFR2,0.6751,Enzyme,Enzyme,True,True,True,False,,"ppi_multi_source_frac (+0.41), gene_n_pathways (+0.33)",,,,
Triple-negative,B. NOVEL candidate - please assess,18,19,FGFR1,0.6563,Enzyme,Enzyme,True,True,True,True,AST elevations|Hyperphosphataemia|Hypoglycaemia|anaemia|decreased food intake|+9 more,"ppi_multi_source_frac (+0.66), gene_ppi_degree (+0.32)",,,,
Triple-negative,B. NOVEL candidate - please assess,19,20,RMI2,0.6498,,intracellular,True,False,False,False,,"gene_n_pathways (+0.64), dwpc_GPGD (+0.61)",,,,
Triple-negative,B. NOVEL candidate - please assess,20,21,NR2F1,0.6457,Transcription factor,Transcription factor,True,False,False,False,,"ppi_evidence_depth (+0.61), ppi_multi_source_frac (-0.56)",,,,
"Breast carcinoma (umbrella, reference)",A. known target - sanity anchor,1,1,KRAS,0.9971,Enzyme,Enzyme,True,True,True,False,,"ppi_adamic_adar (+1.19), dwpc_GBGD (+0.92)",,,,
"Breast carcinoma (umbrella, reference)",A. known target - sanity anchor,2,2,JAK2,0.9958,Enzyme,Enzyme,True,True,True,True,heart disease|regulation of catalytic activity,"dwpc_GBGD (+1.50), ppi_multi_source_frac (+1.07)",,,,
"Breast carcinoma (umbrella, reference)",A. known target - sanity anchor,3,3,EP300,0.9956,Epigenetic regulator,Epigenetic regulator,True,False,False,False,,"ppi_adamic_adar (+1.59), dwpc_GBGD (+1.40)",,,,
"Breast carcinoma (umbrella, reference)",A. known target - sanity anchor,4,4,PIK3R1,0.9956,Enzyme,Enzyme,True,True,False,True,hyperglycemia|leukopenia,"dwpc_GBGD (+1.41), ppi_adamic_adar (+1.26)",,,,
"Breast carcinoma (umbrella, reference)",A. known target - sanity anchor,5,5,TP53,0.9948,Transcription factor,Transcription factor,True,False,False,True,"Tumorigenesis, Hepatocellular carcinoma|drug toxicity|neutropenia|regulation of transcription factor activity","ppi_adamic_adar (+1.40), dwpc_GBGD (+1.33)",,,,
"Breast carcinoma (umbrella, reference)",A. known target - sanity anchor,6,6,AKT1,0.9948,Enzyme,Enzyme,True,True,False,True,apoptototic cell death in cancer cells|heart disease|hyperglycemia|regulation of catalytic activity,"ppi_adamic_adar (+1.53), dwpc_GBGD (+1.46)",,,,
"Breast carcinoma (umbrella, reference)",A. known target - sanity anchor,7,7,SMAD3,0.9943,Transcription factor,Transcription factor,True,True,False,False,,"ppi_adamic_adar (+1.56), dwpc_GBGD (+1.51)",,,,
"Breast carcinoma (umbrella, reference)",A. known target - sanity anchor,8,8,CREBBP,0.9943,Epigenetic regulator,Epigenetic regulator,True,False,False,False,,"ppi_adamic_adar (+1.31), dwpc_GBGD (+1.31)",,,,
