model,disease_index,auc_assoc,n_assoc,auc_drug,n_drug,hits_at_50
m1   7 features,47633,0.8415069349913542,11,0.8029020556227328,1.0,0.0
m1   7 features,47641,0.6706504824151883,21,,,
m1   7 features,47654,0.6123095519199415,35,0.7321956343695474,11.0,0.0
m1   7 features,47655,0.6298425224466891,160,0.39185587583148557,50.0,0.0
m1   7 features,47662,0.711079496844277,123,0.7687566670617518,1.0,0.0
m1   7 features,47663,0.8068926040035692,26,0.6899680603948897,3.0,0.0
m1   7 features,47670,0.5223837595851247,7,,,
m1   7 features,47673,0.6456404945303903,7,,,
m1   7 features,47674,0.7960470085470085,9,,,
m1   7 features,47683,0.6982119084029912,39,,,
m1   7 features,47684,0.6563812864282602,256,0.3823623049984082,12.0,0.0
m1   7 features,47686,0.7513177026535806,18,0.5236673002081637,3.0,0.0
m1   7 features,47690,0.7783749257278669,100,,,
m1   7 features,47691,0.6671827969437369,16,,,
m1   7 features,47700,0.773832739785448,47,0.5996679155313351,12.0,0.0
m1   7 features,47701,0.6428854733756403,74,,,
m1   7 features,47703,0.922075668170774,33,0.8218539616778872,2.0,0.0
m1   7 features,47704,0.6994652406417112,55,,,
m1   7 features,47710,0.8205123487680669,28,0.7067622950819672,1.0,0.0
m1   7 features,47712,0.8757278020378457,9,0.856078860898138,15.0,8.0
m1   7 features,47713,0.6498806518028235,66,,,
m1   7 features,47714,0.6020099850872074,15,0.34510184287099904,1.0,0.0
m1   7 features,47720,0.12199781659388646,2,,,
m1   7 features,47722,0.788106865331147,52,,,
m1   7 features,47724,0.6242896920104557,126,0.9991521001826246,2.0,2.0
m1   7 features,47727,0.7480520372086638,27,0.6269489139537785,26.0,0.0
m1   7 features,47729,0.7447538003965631,68,,,
m1   7 features,47730,0.6022625388215124,55,,,
m1   7 features,47734,0.6469174147981109,38,0.7944310144148984,18.0,3.0
m1   7 features,47751,0.880678624354847,60,,,
m1   7 features,47753,0.8495264193625512,55,,,
m1   7 features,47766,0.918755104790872,98,,,
m1   7 features,47774,0.6751821683149348,99,0.6937330404445019,5.0,0.0
m1   7 features,47793,0.820798867576123,64,,,
m1   7 features,47801,0.7200311302681992,18,,,
m1   7 features,47803,0.6799191374663073,14,,,
m1   7 features,47807,0.9538649706457926,8,,,
m1   7 features,47832,0.8916447998775807,513,,,
m1   7 features,47833,0.8554125816993464,20,,,
m1   7 features,47863,0.586333759562106,13,0.622582304526749,40.0,0.0
m1   7 features,47864,0.4798820672910163,4,,,
m1   7 features,47872,0.7282997360211183,20,,,
m1   7 features,47873,0.6362459546925566,35,,,
m1   7 features,47878,0.5100078802206461,3,,,
m1   7 features,47879,0.8938548389801113,648,,,
m1   7 features,47888,0.9041139775753213,691,,,
m1   7 features,47892,0.8775126302244363,211,,,
m1   7 features,47896,0.8155482685735733,31,,,
m1   7 features,47898,0.9127251548196458,47,,,
m1   7 features,47902,0.5172367236723673,11,,,
m1   7 features,47907,0.80328164849798,36,,,
m1   7 features,47908,0.6486952543506185,17,,,
m1   7 features,47911,0.7493338403470227,60,,,
m1   7 features,47928,0.19331210191082804,2,0.47547770700636943,2.0,0.0
m1   7 features,47934,0.66807325434086,14,,,
m1   7 features,47964,0.6909555768616171,12,,,
m1   7 features,48080,0.702454584354456,19,0.7771645818003434,1.0,0.0
m1   7 features,48104,0.6891111804016417,107,,,
m1   7 features,48144,0.7576617292763451,140,,,
m1   7 features,48151,0.6093487394957983,10,,,
m1   7 features,48180,0.5673600594930214,601,,,
m1   7 features,48192,0.8238728299635032,55,,,
m1   7 features,48193,0.7314080687830687,100,,,
m1   7 features,48221,0.7367557481125601,47,,,
m1   7 features,48301,0.7876942413162705,48,,,
m1   7 features,48305,0.8764872330957119,27,,,
m1   7 features,48310,0.8559932072976466,97,,,
m1   7 features,48312,0.8805740797261721,345,,,
m1   7 features,48319,0.8265092931759599,30,,,
m1   7 features,48351,0.8806546044238498,333,,,
m1   7 features,48368,0.7670630151098901,28,,,
m1   7 features,48402,0.868178293863746,71,,,
